time,power,alpha,beta,gamma
1455713731636,0.97,273.4668884277344,101.66161346435547,-6.6961212158203125
1455713731693,0.97,275.2620849609375,101.48392486572266,-6.790992259979248
1455713731754,0.97,276.6022644042969,101.59913635253906,-6.847641944885254
1455713731812,0.97,276.1553955078125,100.73017883300781,-6.91937255859375
1455713731874,0.97,274.4482116699219,101.68975830078125,-7.077354907989502
1455713731932,0.97,273.7341003417969,101.9447021484375,-7.165205001831055
1455713731994,0.97,272.9719543457031,102.07596588134766,-7.147254943847656
1455713732052,0.97,273.19793701171875,101.86238861083984,-7.112475872039795
1455713732114,0.97,273.40386962890625,101.55374145507812,-7.195517063140869
1455713732172,0.97,273.14276123046875,100.8823471069336,-7.608593463897705
1455713732234,0.97,273.08282470703125,100.49205017089844,-7.797844409942627
1455713732292,0.97,272.9236145019531,99.96142578125,-8.130802154541016
1455713732353,0.97,272.6000671386719,100.07360076904297,-8.44593334197998
1455713732412,0.97,271.7195129394531,100.57281494140625,-9.053943634033203
1455713732473,0.97,271.1023864746094,100.86039733886719,-9.322328567504883
1455713732532,0.97,269.6695251464844,101.4477310180664,-9.925148010253906
1455713732593,0.97,268.8475646972656,101.73407745361328,-10.25260066986084
1455713732651,0.97,267.9869384765625,101.96733856201172,-10.600051879882812
1455713732714,0.97,267.3340759277344,102.19756317138672,-10.890922546386719
1455713732771,0.97,267.1584167480469,102.30914306640625,-10.957913398742676
1455713732833,0.97,267.343505859375,102.59210968017578,-10.915593147277832
1455713732890,0.97,267.4576110839844,102.82905578613281,-10.85619831085205
1455713732952,0.97,267.6505126953125,103.54367065429688,-10.704936981201172
1455713733010,0.97,267.872802734375,103.68417358398438,-10.572444915771484
1455713733072,0.97,268.5762634277344,103.42145538330078,-10.286806106567383
1455713733129,0.97,268.6666259765625,103.46279907226562,-10.249335289001465
1455713733193,0.97,268.4979248046875,103.58182525634766,-10.156472206115723
1455713733249,0.97,268.2870178222656,103.76033020019531,-10.056819915771484
1455713733312,0.97,267.8589782714844,103.4579849243164,-9.878401756286621
1455713733368,0.97,267.6869201660156,103.12745666503906,-9.731743812561035
1455713733432,0.97,268.0277099609375,102.88883972167969,-9.498151779174805
1455713733490,0.97,269.0271301269531,102.52542114257812,-9.07275390625
1455713733551,0.97,269.5662536621094,102.05502319335938,-8.801445007324219
1455713733608,0.97,270.144775390625,101.90914916992188,-8.612931251525879
1455713733672,0.97,270.02203369140625,102.07093048095703,-8.587469100952148
1455713733729,0.97,270.66961669921875,102.68476104736328,-8.129067420959473
1455713733791,0.97,271.5122985839844,102.77579498291016,-7.603894233703613
1455713733848,0.97,275.2416076660156,102.07609558105469,-6.100924968719482
1455713733912,0.97,278.49285888671875,100.54670715332031,-4.966266632080078
1455713733969,0.97,286.298583984375,97.64385223388672,-2.7507991790771484
1455713734030,0.97,290.2083740234375,96.95750427246094,-1.7902694940567017
1455713734088,0.97,296.7249450683594,96.37073516845703,-0.43996843695640564
1455713734150,0.97,299.00787353515625,96.37700653076172,0.05771008878946304
1455713734208,0.97,302.296630859375,96.09300231933594,0.6342053413391113
1455713734270,0.97,304.1029968261719,95.79183197021484,1.110952615737915
1455713734327,0.97,304.4997863769531,95.30835723876953,1.281160831451416
1455713734390,0.97,305.4535827636719,94.99198150634766,1.515709638595581
1455713734446,0.97,305.71917724609375,94.89496612548828,1.5070898532867432
1455713734509,0.97,305.72552490234375,94.96127319335938,1.3985581398010254
1455713734567,0.97,305.7184143066406,95.22517395019531,1.2874037027359009
1455713734629,0.97,305.0927429199219,95.43061828613281,0.9586530327796936
1455713734686,0.97,304.9690856933594,95.64444732666016,0.9200624227523804
1455713734749,0.97,304.58331298828125,95.97972869873047,0.8394662141799927
1455713734806,0.97,304.4051818847656,96.17276000976562,0.8081702589988708
1455713734868,0.97,303.9538879394531,96.55667114257812,0.6163239479064941
